AirportID,Cancelled,Delayed,Count,Lat,Lon
12896,19,90,520,33.66361111,-101.82055556
12915,14,25,174,30.12611111,-93.22333333
12945,52,112,409,38.03666667,-84.60861111
12951,69,77,503,30.205,-91.98777778
12953,1021,2471,8530,40.77722222,-73.8725
12954,30,146,972,33.81777778,-118.15166667
12982,4,62,869,21.97611111,-159.33888889
12992,111,290,1151,34.72944444,-92.22472222
13024,5,4,62,42.15611111,-121.73305556
13029,36,47,176,40.85083333,-96.75916667
13061,16,33,201,27.54416667,-99.46166667
13076,2,27,53,43.87916667,-91.25666667
13127,2,4,54,46.37444444,-117.01527778
13158,35,143,824,31.9425,-102.20194444
13184,27,23,117,43.53305556,-84.07972222
13198,215,947,3613,39.2975,-94.71388889
13204,380,2403,9206,28.42944444,-81.30888889
13230,55,108,339,40.19305556,-76.7625
13232,1045,2309,6584,41.78583333,-87.7525
13244,123,291,1318,35.0425,-89.97666667
13256,26,64,348,26.17583333,-98.23861111
13264,39,48,276,42.37416667,-122.87361111
13277,32,45,295,32.30055556,-86.39388889
13290,13,33,146,39.14111111,-96.67166667
13296,58,172,554,42.93277778,-71.43583333
13303,232,1461,7436,25.79527778,-80.29
13342,218,880,2650,42.94694444,-87.89694444
13344,19,18,62,43.16888889,-86.2375
13360,9,23,118,28.10277778,-80.64527778
13367,52,118,339,41.44833333,-90.5075
13377,15,51,275,32.51083333,-92.03777778
13388,7,10,67,37.63111111,-118.85138889
13422,64,95,480,30.69138889,-88.24277778
13424,5,29,93,37.62583333,-120.95444444
13433,10,38,130,48.25777778,-101.27805556
13459,2,16,27,46.35361111,-87.39527778
13476,11,67,413,36.58694444,-121.84305556
13485,89,211,784,43.14,-89.3375
13486,3,49,230,46.91638889,-114.09055556
13487,338,2183,8085,44.88194444,-93.22166667
13495,269,782,3397,29.99333333,-90.25916667
13502,18,40,164,38.50972222,-107.89416667
13577,10,19,116,33.67972222,-78.92833333
13795,18,23,139,34.82916667,-77.61222222
13796,92,771,3408,37.72138889,-122.22111111
13830,6,141,1746,20.89861111,-156.43055556
13851,114,397,1695,35.39305556,-97.60083333
13871,160,366,1677,41.30305556,-95.89416667
13873,2,8,60,64.5125,-165.44444444
13891,39,335,1682,34.05611111,-117.60111111
13930,3596,7884,21497,41.97944444,-87.9075
13931,107,273,990,36.89472222,-76.20111111
13933,8,21,62,42.26722222,-71.87555556
13964,2,8,31,43.41694444,-124.24694444
13970,1,12,60,66.88472222,-162.59805556
14006,16,7,62,37.06027778,-88.77305556
14027,164,626,2265,26.68305556,-80.09555556
14057,96,686,4375,45.58861111,-122.59694444
14098,15,41,179,37.13194444,-76.49305556
14100,377,1930,6022,39.87222222,-75.24083333
14107,213,2865,13343,33.43416667,-112.01166667
14108,42,82,291,40.66416667,-89.69333333
14113,3,15,83,42.90972222,-112.59583333
14122,149,569,2321,40.49138889,-80.23277778
14193,75,131,677,30.47333333,-87.18666667
14222,0,1,10,-14.33,-170.71027778
14252,3,30,200,46.26472222,-119.11916667
14254,8,19,75,18.00833333,-66.56305556
14256,7,8,62,56.80138889,-132.94611111
14262,15,235,1152,33.82972222,-116.50666667
14307,90,251,901,41.72388889,-71.42833333
14321,41,101,336,43.64555556,-70.30861111
14457,25,55,271,44.04527778,-103.05722222
14487,2,19,93,40.50888889,-122.29333333
14489,19,41,278,44.25416667,-121.15
14492,279,758,3251,35.87777778,-78.7875
14520,10,15,90,45.63083333,-89.46666667
14524,157,301,1257,37.50527778,-77.31972222
14543,8,26,155,41.59416667,-109.06527778
14570,11,220,1236,39.49916667,-119.76805556
14574,22,48,158,37.32555556,-79.97555556
14576,107,230,676,43.11916667,-77.67194444
14588,0,8,89,33.30166667,-104.53055556
14633,9,15,39,43.90833333,-92.5
14635,158,632,2801,26.53611111,-81.75527778
14674,4,33,145,35.61722222,-106.08944444
14679,217,1379,6088,32.73361111,-117.18972222
14683,127,627,2734,29.53388889,-98.46916667
14685,76,133,526,32.1275,-81.20222222
14689,14,140,791,34.42611111,-119.84138889
14696,66,84,308,41.70833333,-86.31722222
14698,8,75,368,35.23722222,-120.6425
14709,1,12,78,70.19555556,-148.46583333
14711,7,18,49,40.84916667,-77.84861111
14730,94,301,1153,38.17416667,-85.73638889
14747,122,1221,7780,47.45,-122.31166667
14771,419,2712,13550,37.61888889,-122.37555556
14783,69,161,559,37.24555556,-93.38861111
14794,1,23,150,37.03638889,-113.51027778
14814,50,126,595,32.44666667,-93.82555556
14828,3,13,92,57.04694444,-135.36111111
14831,77,609,3330,37.36277778,-121.92916667
14842,3,21,151,31.35777778,-100.49638889
14843,114,648,2312,18.43944444,-66.00222222
14869,117,1623,8685,40.78833333,-111.97777778
14893,72,705,3381,38.69555556,-121.59083333
14905,2,12,102,34.9,-120.45805556
14908,60,591,3219,33.67555556,-117.86833333
14952,23,49,152,39.84416667,-89.67805556
14960,5,16,123,33.98888889,-98.49194444
14986,33,75,343,27.39555556,-82.55444444
15016,325,1300,4141,38.74861111,-90.37
15024,17,103,417,18.33722222,-64.97333333
15027,1,23,89,17.70138889,-64.80194444
15041,13,22,112,43.50388889,-114.29555556
15048,13,15,58,42.4025,-96.38444444
15070,6,23,62,41.50416667,-74.10472222
15096,97,192,554,43.11111111,-76.10638889
15249,27,101,408,30.39666667,-84.35083333
15295,10,21,69,41.58694444,-83.80777778
15304,223,1408,5442,27.97555556,-82.53333333
15323,12,33,171,36.47527778,-82.4075
15356,10,64,133,40.27666667,-74.81333333
15370,135,367,1609,36.19833333,-95.88805556
15376,37,279,1450,32.11611111,-110.94111111
15380,44,45,130,44.74166667,-85.58166667
15389,9,22,116,42.48194444,-114.48777778
15401,0,11,89,33.45361111,-93.99111111
15411,19,23,231,32.35388889,-95.40277778
15412,80,169,682,35.81083333,-83.99416667
15607,8,20,87,30.78138889,-83.27611111
15624,55,92,402,30.48333333,-86.52527778
15841,3,7,62,56.48444444,-132.36972222
15919,106,213,826,36.28166667,-94.30777778
15991,0,8,60,59.50333333,-139.66027778
16218,5,20,264,32.65666667,-114.60583333
